id;date;journal_id/id;name;period_id/id;line_id/account_id/id;line_id/date;line_id/name;line_id/credit;line_id/debit;line_id/journal_id/id;line_id/period_id/id
;;;;;__export__.account_account_134;2015-09-01;50_40020033 - V. Pignon - Dépôt CTI (2015);;2400.00;__export__.account_journal_5;__export__.account_period_18
10;2015-09-01;__export__.account_journal_5;10;__export__.account_period_18;45566;2015-09-01;50_40020033 - V. Pignon - Dépôt CTI (2015);2400.00;;__export__.account_journal_5;__export__.account_period_18
;;;;;__export__.account_account_117;2015-09-01;50_40020033 - V. Pignon - Dépôt CTI (2015);;2400.00;__export__.account_journal_5;__export__.account_period_18
11;2016-01-01;__export__.account_journal_5;11;__export__.account_period_19;__export__.account_account_209;2016-01-01;50_40020033 - V. Pignon - Dépôt CTI (2016);4800.00;;__export__.account_journal_5;__export__.account_period_19
;;;;;__export__.account_account_134;2016-01-01;50_40020033 - V. Pignon - Dépôt CTI (2016);;4800.00;__export__.account_journal_5;__export__.account_period_19
12;2016-01-01;__export__.account_journal_5;12;__export__.account_period_19;45566;2016-01-01;50_40020033 - V. Pignon - Dépôt CTI (2016);4800.00;;__export__.account_journal_5;__export__.account_period_19
;;;;;__export__.account_account_117;2016-01-01;50_40020033 - V. Pignon - Dépôt CTI (2016);;4800.00;__export__.account_journal_5;__export__.account_period_19
13;2015-09-01;__export__.account_journal_5;13;__export__.account_period_18;__export__.account_account_215;2015-09-01;50_19036954 - C. Schaerer - Réalisat° mandat La construct° un indice Gd Geneve (2015);4800.00;;__export__.account_journal_5;__export__.account_period_18
;;;;;__export__.account_account_134;2015-09-01;50_19036954 - C. Schaerer - Réalisat° mandat La construct° un indice Gd Geneve (2015);;4800.00;__export__.account_journal_5;__export__.account_period_18
14;2015-09-01;__export__.account_journal_5;14;__export__.account_period_18;45566;2015-09-01;50_19036954 - C. Schaerer - Réalisat° mandat La construct° un indice Gd Geneve (2015);4800.00;;__export__.account_journal_5;__export__.account_period_18
;;;;;__export__.account_account_117;2015-09-01;50_19036954 - C. Schaerer - Réalisat° mandat La construct° un indice Gd Geneve (2015);;4800.00;__export__.account_journal_5;__export__.account_period_18
15;2016-01-01;__export__.account_journal_5;15;__export__.account_period_19;__export__.account_account_215;2016-01-01;50_19036954 - C. Schaerer - Réalisat° mandat La construct° un indice Gd Geneve (2016);9600.00;;__export__.account_journal_5;__export__.account_period_19
;;;;;__export__.account_account_134;2016-01-01;50_19036954 - C. Schaerer - Réalisat° mandat La construct° un indice Gd Geneve (2016);;9600.00;__export__.account_journal_5;__export__.account_period_19
16;2016-01-01;__export__.account_journal_5;16;__export__.account_period_19;45566;2016-01-01;50_19036954 - C. Schaerer - Réalisat° mandat La construct° un indice Gd Geneve (2016);9600.00;;__export__.account_journal_5;__export__.account_period_19
;;;;;__export__.account_account_117;2016-01-01;50_19036954 - C. Schaerer - Réalisat° mandat La construct° un indice Gd Geneve (2016);;9600.00;__export__.account_journal_5;__export__.account_period_19
17;2015-09-01;__export__.account_journal_5;17;__export__.account_period_18;__export__.account_account_198;2015-09-01;50_12448459 - N. Junod - Formation courte SIG N°43776 (2015);1280.40;;__export__.account_journal_5;__export__.account_period_18
;;;;;__export__.account_account_134;2015-09-01;50_12448459 - N. Junod - Formation courte SIG N°43776 (2015);;1280.40;__export__.account_journal_5;__export__.account_period_18
18;2015-09-01;__export__.account_journal_5;18;__export__.account_period_18;45566;2015-09-01;50_12448459 - N. Junod - Formation courte SIG N°43776 (2015);1280.40;;__export__.account_journal_5;__export__.account_period_18
;;;;;__export__.account_account_117;2015-09-01;50_12448459 - N. Junod - Formation courte SIG N°43776 (2015);;1280.40;__export__.account_journal_5;__export__.account_period_18
19;2016-01-01;__export__.account_journal_5;19;__export__.account_period_19;__export__.account_account_198;2016-01-01;50_12448459 - N. Junod - Formation courte SIG N°43776 (2016);2559.60;;__export__.account_journal_5;__export__.account_period_19
;;;;;__export__.account_account_134;2016-01-01;50_12448459 - N. Junod - Formation courte SIG N°43776 (2016);;2559.60;__export__.account_journal_5;__export__.account_period_19
20;2016-01-01;__export__.account_journal_5;20;__export__.account_period_19;45566;2016-01-01;50_12448459 - N. Junod - Formation courte SIG N°43776 (2016);2559.60;;__export__.account_journal_5;__export__.account_period_19
;;;;;__export__.account_account_117;2016-01-01;50_12448459 - N. Junod - Formation courte SIG N°43776 (2016);;2559.60;__export__.account_journal_5;__export__.account_period_19
21;2015-09-01;__export__.account_journal_5;21;__export__.account_period_18;__export__.account_account_1959;2015-09-01;50_40026441 - T. Gauthier - Dépôt RCSO (2015);1599.60;;__export__.account_journal_5;__export__.account_period_18
;;;;;__export__.account_account_134;2015-09-01;50_40026441 - T. Gauthier - Dépôt RCSO (2015);;1599.60;__export__.account_journal_5;__export__.account_period_18
22;2015-09-01;__export__.account_journal_5;22;__export__.account_period_18;45566;2015-09-01;50_40026441 - T. Gauthier - Dépôt RCSO (2015);1599.60;;__export__.account_journal_5;__export__.account_period_18
;;;;;__export__.account_account_117;2015-09-01;50_40026441 - T. Gauthier - Dépôt RCSO (2015);;1599.60;__export__.account_journal_5;__export__.account_period_18
23;2016-01-01;__export__.account_journal_5;23;__export__.account_period_19;__export__.account_account_1959;2016-01-01;50_40026441 - T. Gauthier - Dépôt RCSO (2016);3200.40;;__export__.account_journal_5;__export__.account_period_19
;;;;;__export__.account_account_134;2016-01-01;50_40026441 - T. Gauthier - Dépôt RCSO (2016);;3200.40;__export__.account_journal_5;__export__.account_period_19
24;2016-01-01;__export__.account_journal_5;24;__export__.account_period_19;45566;2016-01-01;50_40026441 - T. Gauthier - Dépôt RCSO (2016);3200.40;;__export__.account_journal_5;__export__.account_period_19
;;;;;__export__.account_account_117;2016-01-01;50_40026441 - T. Gauthier - Dépôt RCSO (2016);;3200.40;__export__.account_journal_5;__export__.account_period_19
25;2015-09-01;__export__.account_journal_5;25;__export__.account_period_18;__export__.account_account_1959;2015-09-01;50_40026441 - T. Gauthier - Dépôt RCSO réseaux d'influence devt nvelles techno (2015);1599.60;;__export__.account_journal_5;__export__.account_period_18
;;;;;__export__.account_account_134;2015-09-01;50_40026441 - T. Gauthier - Dépôt RCSO réseaux d'influence devt nvelles techno (2015);;1599.60;__export__.account_journal_5;__export__.account_period_18
26;2015-09-01;__export__.account_journal_5;26;__export__.account_period_18;45566;2015-09-01;50_40026441 - T. Gauthier - Dépôt RCSO réseaux d'influence devt nvelles techno (2015);1599.60;;__export__.account_journal_5;__export__.account_period_18
;;;;;__export__.account_account_117;2015-09-01;50_40026441 - T. Gauthier - Dépôt RCSO réseaux d'influence devt nvelles techno (2015);;1599.60;__export__.account_journal_5;__export__.account_period_18
27;2016-01-01;__export__.account_journal_5;27;__export__.account_period_19;__export__.account_account_1959;2016-01-01;50_40026441 - T. Gauthier - Dépôt RCSO réseaux d'influence devt nvelles techno (2016);3200.40;;__export__.account_journal_5;__export__.account_period_19
;;;;;__export__.account_account_134;2016-01-01;50_40026441 - T. Gauthier - Dépôt RCSO réseaux d'influence devt nvelles techno (2016);;3200.40;__export__.account_journal_5;__export__.account_period_19
28;2016-01-01;__export__.account_journal_5;28;__export__.account_period_19;45566;2016-01-01;50_40026441 - T. Gauthier - Dépôt RCSO réseaux d'influence devt nvelles techno (2016);3200.40;;__export__.account_journal_5;__export__.account_period_19
;;;;;__export__.account_account_117;2016-01-01;50_40026441 - T. Gauthier - Dépôt RCSO réseaux d'influence devt nvelles techno (2016);;3200.40;__export__.account_journal_5;__export__.account_period_19
29;2015-09-01;__export__.account_journal_5;29;__export__.account_period_18;__export__.account_account_1959;2015-09-01;50_40026441 - T. Gauthier - Publications (2015);1599.60;;__export__.account_journal_5;__export__.account_period_18
;;;;;__export__.account_account_134;2015-09-01;50_40026441 - T. Gauthier - Publications (2015);;1599.60;__export__.account_journal_5;__export__.account_period_18
30;2015-09-01;__export__.account_journal_5;30;__export__.account_period_18;45566;2015-09-01;50_40026441 - T. Gauthier - Publications (2015);1599.60;;__export__.account_journal_5;__export__.account_period_18
;;;;;__export__.account_account_117;2015-09-01;50_40026441 - T. Gauthier - Publications (2015);;1599.60;__export__.account_journal_5;__export__.account_period_18
31;2016-01-01;__export__.account_journal_5;31;__export__.account_period_19;__export__.account_account_1959;2016-01-01;50_40026441 - T. Gauthier - Publications (2016);3200.40;;__export__.account_journal_5;__export__.account_period_19
;;;;;__export__.account_account_134;2016-01-01;50_40026441 - T. Gauthier - Publications (2016);;3200.40;__export__.account_journal_5;__export__.account_period_19
32;2016-01-01;__export__.account_journal_5;32;__export__.account_period_19;45566;2016-01-01;50_40026441 - T. Gauthier - Publications (2016);3200.40;;__export__.account_journal_5;__export__.account_period_19
;;;;;__export__.account_account_117;2016-01-01;50_40026441 - T. Gauthier - Publications (2016);;3200.40;__export__.account_journal_5;__export__.account_period_19
33;2015-09-01;__export__.account_journal_5;33;__export__.account_period_18;__export__.account_account_209;2015-09-01;50_40020033 - V. Pignon - N° Sagex a compléter – WeCan.fund (2015);9259.80;;__export__.account_journal_5;__export__.account_period_18
;;;;;__export__.account_account_134;2015-09-01;50_40020033 - V. Pignon - N° Sagex a compléter – WeCan.fund (2015);;9259.80;__export__.account_journal_5;__export__.account_period_18
34;2015-09-01;__export__.account_journal_5;34;__export__.account_period_18;45566;2015-09-01;50_40020033 - V. Pignon - N° Sagex a compléter – WeCan.fund (2015);9259.80;;__export__.account_journal_5;__export__.account_period_18
;;;;;__export__.account_account_117;2015-09-01;50_40020033 - V. Pignon - N° Sagex a compléter – WeCan.fund (2015);;9259.80;__export__.account_journal_5;__export__.account_period_18
35;2016-01-01;__export__.account_journal_5;35;__export__.account_period_19;__export__.account_account_209;2016-01-01;50_40020033 - V. Pignon - N° Sagex a compléter – WeCan.fund (2016);18520.20;;__export__.account_journal_5;__export__.account_period_19
;;;;;__export__.account_account_134;2016-01-01;50_40020033 - V. Pignon - N° Sagex a compléter – WeCan.fund (2016);;18520.20;__export__.account_journal_5;__export__.account_period_19
36;2016-01-01;__export__.account_journal_5;36;__export__.account_period_19;45566;2016-01-01;50_40020033 - V. Pignon - N° Sagex a compléter – WeCan.fund (2016);18520.20;;__export__.account_journal_5;__export__.account_period_19
;;;;;__export__.account_account_117;2016-01-01;50_40020033 - V. Pignon - N° Sagex a compléter – WeCan.fund (2016);;18520.20;__export__.account_journal_5;__export__.account_period_19
37;2015-09-01;__export__.account_journal_5;37;__export__.account_period_18;__export__.account_account_1964;2015-09-01;50_19689141 - F. Moresino - Dépôt FNS, théorie des jeux (2015);4800.00;;__export__.account_journal_5;__export__.account_period_18
;;;;;__export__.account_account_134;2015-09-01;50_19689141 - F. Moresino - Dépôt FNS, théorie des jeux (2015);;4800.00;__export__.account_journal_5;__export__.account_period_18
38;2015-09-01;__export__.account_journal_5;38;__export__.account_period_18;45566;2015-09-01;50_19689141 - F. Moresino - Dépôt FNS, théorie des jeux (2015);4800.00;;__export__.account_journal_5;__export__.account_period_18
;;;;;__export__.account_account_117;2015-09-01;50_19689141 - F. Moresino - Dépôt FNS, théorie des jeux (2015);;4800.00;__export__.account_journal_5;__export__.account_period_18
39;2016-01-01;__export__.account_journal_5;39;__export__.account_period_19;__export__.account_account_1964;2016-01-01;50_19689141 - F. Moresino - Dépôt FNS, théorie des jeux (2016);9600.00;;__export__.account_journal_5;__export__.account_period_19
;;;;;__export__.account_account_134;2016-01-01;50_19689141 - F. Moresino - Dépôt FNS, théorie des jeux (2016);;9600.00;__export__.account_journal_5;__export__.account_period_19
40;2016-01-01;__export__.account_journal_5;40;__export__.account_period_19;45566;2016-01-01;50_19689141 - F. Moresino - Dépôt FNS, théorie des jeux (2016);9600.00;;__export__.account_journal_5;__export__.account_period_19
;;;;;__export__.account_account_117;2016-01-01;50_19689141 - F. Moresino - Dépôt FNS, théorie des jeux (2016);;9600.00;__export__.account_journal_5;__export__.account_period_19
41;2015-09-01;__export__.account_journal_5;41;__export__.account_period_18;__export__.account_account_1964;2015-09-01;50_19689141 - F. Moresino - Dépôt Fonds de tiers avec l'Univ Franche Comté (2015);4800.00;;__export__.account_journal_5;__export__.account_period_18
;;;;;__export__.account_account_134;2015-09-01;50_19689141 - F. Moresino - Dépôt Fonds de tiers avec l'Univ Franche Comté (2015);;4800.00;__export__.account_journal_5;__export__.account_period_18
42;2015-09-01;__export__.account_journal_5;42;__export__.account_period_18;45566;2015-09-01;50_19689141 - F. Moresino - Dépôt Fonds de tiers avec l'Univ Franche Comté (2015);4800.00;;__export__.account_journal_5;__export__.account_period_18
;;;;;__export__.account_account_117;2015-09-01;50_19689141 - F. Moresino - Dépôt Fonds de tiers avec l'Univ Franche Comté (2015);;4800.00;__export__.account_journal_5;__export__.account_period_18
43;2016-01-01;__export__.account_journal_5;43;__export__.account_period_19;__export__.account_account_1964;2016-01-01;50_19689141 - F. Moresino - Dépôt Fonds de tiers avec l'Univ Franche Comté (2016);9600.00;;__export__.account_journal_5;__export__.account_period_19
;;;;;__export__.account_account_134;2016-01-01;50_19689141 - F. Moresino - Dépôt Fonds de tiers avec l'Univ Franche Comté (2016);;9600.00;__export__.account_journal_5;__export__.account_period_19
44;2016-01-01;__export__.account_journal_5;44;__export__.account_period_19;45566;2016-01-01;50_19689141 - F. Moresino - Dépôt Fonds de tiers avec l'Univ Franche Comté (2016);9600.00;;__export__.account_journal_5;__export__.account_period_19
;;;;;__export__.account_account_117;2016-01-01;50_19689141 - F. Moresino - Dépôt Fonds de tiers avec l'Univ Franche Comté (2016);;9600.00;__export__.account_journal_5;__export__.account_period_19
45;2015-09-01;__export__.account_journal_5;45;__export__.account_period_18;__export__.account_account_211;2015-09-01;50_18503508 - J. Ramirez Taroncher - Réalisation de mandat Ville de GE et canton de GE (2015);7200.00;;__export__.account_journal_5;__export__.account_period_18
;;;;;__export__.account_account_134;2015-09-01;50_18503508 - J. Ramirez Taroncher - Réalisation de mandat Ville de GE et canton de GE (2015);;7200.00;__export__.account_journal_5;__export__.account_period_18
46;2015-09-01;__export__.account_journal_5;46;__export__.account_period_18;45566;2015-09-01;50_18503508 - J. Ramirez Taroncher - Réalisation de mandat Ville de GE et canton de GE (2015);7200.00;;__export__.account_journal_5;__export__.account_period_18
;;;;;__export__.account_account_117;2015-09-01;50_18503508 - J. Ramirez Taroncher - Réalisation de mandat Ville de GE et canton de GE (2015);;7200.00;__export__.account_journal_5;__export__.account_period_18
47;2016-01-01;__export__.account_journal_5;47;__export__.account_period_19;__export__.account_account_211;2016-01-01;50_18503508 - J. Ramirez Taroncher - Réalisation de mandat Ville de GE et canton de GE (2016);14400.00;;__export__.account_journal_5;__export__.account_period_19
;;;;;__export__.account_account_134;2016-01-01;50_18503508 - J. Ramirez Taroncher - Réalisation de mandat Ville de GE et canton de GE (2016);;14400.00;__export__.account_journal_5;__export__.account_period_19
48;2016-01-01;__export__.account_journal_5;48;__export__.account_period_19;45566;2016-01-01;50_18503508 - J. Ramirez Taroncher - Réalisation de mandat Ville de GE et canton de GE (2016);14400.00;;__export__.account_journal_5;__export__.account_period_19
;;;;;__export__.account_account_117;2016-01-01;50_18503508 - J. Ramirez Taroncher - Réalisation de mandat Ville de GE et canton de GE (2016);;14400.00;__export__.account_journal_5;__export__.account_period_19
49;2015-09-01;__export__.account_journal_5;49;__export__.account_period_18;__export__.account_account_1965;2015-09-01;50_40101923 - M. Aminanmu - 33243 - Projet WeNDEE (2015);5452.20;;__export__.account_journal_5;__export__.account_period_18
;;;;;__export__.account_account_134;2015-09-01;50_40101923 - M. Aminanmu - 33243 - Projet WeNDEE (2015);;5452.20;__export__.account_journal_5;__export__.account_period_18
50;2015-09-01;__export__.account_journal_5;50;__export__.account_period_18;33243;2015-09-01;50_40101923 - M. Aminanmu - 33243 - Projet WeNDEE (2015);5452.20;;__export__.account_journal_5;__export__.account_period_18
;;;;;__export__.account_account_117;2015-09-01;50_40101923 - M. Aminanmu - 33243 - Projet WeNDEE (2015);;5452.20;__export__.account_journal_5;__export__.account_period_18
51;2016-01-01;__export__.account_journal_5;51;__export__.account_period_19;__export__.account_account_1965;2016-01-01;50_40101923 - M. Aminanmu - 33243 - Projet WeNDEE (2016);2725.80;;__export__.account_journal_5;__export__.account_period_19
;;;;;__export__.account_account_134;2016-01-01;50_40101923 - M. Aminanmu - 33243 - Projet WeNDEE (2016);;2725.80;__export__.account_journal_5;__export__.account_period_19
52;2016-01-01;__export__.account_journal_5;52;__export__.account_period_19;33243;2016-01-01;50_40101923 - M. Aminanmu - 33243 - Projet WeNDEE (2016);2725.80;;__export__.account_journal_5;__export__.account_period_19
;;;;;__export__.account_account_117;2016-01-01;50_40101923 - M. Aminanmu - 33243 - Projet WeNDEE (2016);;2725.80;__export__.account_journal_5;__export__.account_period_19
53;2015-09-01;__export__.account_journal_5;53;__export__.account_period_18;__export__.account_account_185;2015-09-01;50_40101372 - N. Depetris Chauvin - Forfait – nouveau professeur (2015);15999.60;;__export__.account_journal_5;__export__.account_period_18
;;;;;__export__.account_account_134;2015-09-01;50_40101372 - N. Depetris Chauvin - Forfait – nouveau professeur (2015);;15999.60;__export__.account_journal_5;__export__.account_period_18
54;2015-09-01;__export__.account_journal_5;54;__export__.account_period_18;45566;2015-09-01;50_40101372 - N. Depetris Chauvin - Forfait – nouveau professeur (2015);15999.60;;__export__.account_journal_5;__export__.account_period_18
;;;;;__export__.account_account_117;2015-09-01;50_40101372 - N. Depetris Chauvin - Forfait – nouveau professeur (2015);;15999.60;__export__.account_journal_5;__export__.account_period_18
55;2016-01-01;__export__.account_journal_5;55;__export__.account_period_19;__export__.account_account_185;2016-01-01;50_40101372 - N. Depetris Chauvin - Forfait – nouveau professeur (2016);32000.40;;__export__.account_journal_5;__export__.account_period_19
;;;;;__export__.account_account_134;2016-01-01;50_40101372 - N. Depetris Chauvin - Forfait – nouveau professeur (2016);;32000.40;__export__.account_journal_5;__export__.account_period_19
56;2016-01-01;__export__.account_journal_5;56;__export__.account_period_19;45566;2016-01-01;50_40101372 - N. Depetris Chauvin - Forfait – nouveau professeur (2016);32000.40;;__export__.account_journal_5;__export__.account_period_19
;;;;;__export__.account_account_117;2016-01-01;50_40101372 - N. Depetris Chauvin - Forfait – nouveau professeur (2016);;32000.40;__export__.account_journal_5;__export__.account_period_19
57;2015-09-01;__export__.account_journal_5;57;__export__.account_period_18;__export__.account_account_1956;2015-09-01;50_12427907 - S. Varone - 37216  -  Réalisation projet CTI Ecowaste (2015);13599.60;;__export__.account_journal_5;__export__.account_period_18
;;;;;__export__.account_account_134;2015-09-01;50_12427907 - S. Varone - 37216  -  Réalisation projet CTI Ecowaste (2015);;13599.60;__export__.account_journal_5;__export__.account_period_18
58;2015-09-01;__export__.account_journal_5;58;__export__.account_period_18;37216;2015-09-01;50_12427907 - S. Varone - 37216  -  Réalisation projet CTI Ecowaste (2015);13599.60;;__export__.account_journal_5;__export__.account_period_18
;;;;;__export__.account_account_117;2015-09-01;50_12427907 - S. Varone - 37216  -  Réalisation projet CTI Ecowaste (2015);;13599.60;__export__.account_journal_5;__export__.account_period_18
59;2016-01-01;__export__.account_journal_5;59;__export__.account_period_19;__export__.account_account_1956;2016-01-01;50_12427907 - S. Varone - 37216  -  Réalisation projet CTI Ecowaste (2016);27200.40;;__export__.account_journal_5;__export__.account_period_19
;;;;;__export__.account_account_134;2016-01-01;50_12427907 - S. Varone - 37216  -  Réalisation projet CTI Ecowaste (2016);;27200.40;__export__.account_journal_5;__export__.account_period_19
60;2016-01-01;__export__.account_journal_5;60;__export__.account_period_19;37216;2016-01-01;50_12427907 - S. Varone - 37216  -  Réalisation projet CTI Ecowaste (2016);27200.40;;__export__.account_journal_5;__export__.account_period_19
;;;;;__export__.account_account_117;2016-01-01;50_12427907 - S. Varone - 37216  -  Réalisation projet CTI Ecowaste (2016);;27200.40;__export__.account_journal_5;__export__.account_period_19
61;2015-09-01;__export__.account_journal_5;61;__export__.account_period_18;__export__.account_account_198;2015-09-01;50_12448459 - N. Junod - Dépôt CTI Création de groupes d'apprenants (2015);1599.60;;__export__.account_journal_5;__export__.account_period_18
;;;;;__export__.account_account_134;2015-09-01;50_12448459 - N. Junod - Dépôt CTI Création de groupes d'apprenants (2015);;1599.60;__export__.account_journal_5;__export__.account_period_18
62;2015-09-01;__export__.account_journal_5;62;__export__.account_period_18;45566;2015-09-01;50_12448459 - N. Junod - Dépôt CTI Création de groupes d'apprenants (2015);1599.60;;__export__.account_journal_5;__export__.account_period_18
;;;;;__export__.account_account_117;2015-09-01;50_12448459 - N. Junod - Dépôt CTI Création de groupes d'apprenants (2015);;1599.60;__export__.account_journal_5;__export__.account_period_18
63;2016-01-01;__export__.account_journal_5;63;__export__.account_period_19;__export__.account_account_198;2016-01-01;50_12448459 - N. Junod - Dépôt CTI Création de groupes d'apprenants (2016);3200.40;;__export__.account_journal_5;__export__.account_period_19
;;;;;__export__.account_account_134;2016-01-01;50_12448459 - N. Junod - Dépôt CTI Création de groupes d'apprenants (2016);;3200.40;__export__.account_journal_5;__export__.account_period_19
64;2016-01-01;__export__.account_journal_5;64;__export__.account_period_19;45566;2016-01-01;50_12448459 - N. Junod - Dépôt CTI Création de groupes d'apprenants (2016);3200.40;;__export__.account_journal_5;__export__.account_period_19
;;;;;__export__.account_account_117;2016-01-01;50_12448459 - N. Junod - Dépôt CTI Création de groupes d'apprenants (2016);;3200.40;__export__.account_journal_5;__export__.account_period_19
65;2015-09-01;__export__.account_journal_5;65;__export__.account_period_18;__export__.account_account_198;2015-09-01;50_12448459 - N. Junod - Itescia (2015);1599.60;;__export__.account_journal_5;__export__.account_period_18
;;;;;__export__.account_account_134;2015-09-01;50_12448459 - N. Junod - Itescia (2015);;1599.60;__export__.account_journal_5;__export__.account_period_18
66;2015-09-01;__export__.account_journal_5;66;__export__.account_period_18;45566;2015-09-01;50_12448459 - N. Junod - Itescia (2015);1599.60;;__export__.account_journal_5;__export__.account_period_18
;;;;;__export__.account_account_117;2015-09-01;50_12448459 - N. Junod - Itescia (2015);;1599.60;__export__.account_journal_5;__export__.account_period_18
67;2016-01-01;__export__.account_journal_5;67;__export__.account_period_19;__export__.account_account_198;2016-01-01;50_12448459 - N. Junod - Itescia (2016);3200.40;;__export__.account_journal_5;__export__.account_period_19
;;;;;__export__.account_account_134;2016-01-01;50_12448459 - N. Junod - Itescia (2016);;3200.40;__export__.account_journal_5;__export__.account_period_19
68;2016-01-01;__export__.account_journal_5;68;__export__.account_period_19;45566;2016-01-01;50_12448459 - N. Junod - Itescia (2016);3200.40;;__export__.account_journal_5;__export__.account_period_19
;;;;;__export__.account_account_117;2016-01-01;50_12448459 - N. Junod - Itescia (2016);;3200.40;__export__.account_journal_5;__export__.account_period_19
69;2015-09-01;__export__.account_journal_5;69;__export__.account_period_18;__export__.account_account_198;2015-09-01;50_12448459 - N. Junod - Prospection de mandats (2015);1599.60;;__export__.account_journal_5;__export__.account_period_18
;;;;;__export__.account_account_134;2015-09-01;50_12448459 - N. Junod - Prospection de mandats (2015);;1599.60;__export__.account_journal_5;__export__.account_period_18
70;2015-09-01;__export__.account_journal_5;70;__export__.account_period_18;45566;2015-09-01;50_12448459 - N. Junod - Prospection de mandats (2015);1599.60;;__export__.account_journal_5;__export__.account_period_18
;;;;;__export__.account_account_117;2015-09-01;50_12448459 - N. Junod - Prospection de mandats (2015);;1599.60;__export__.account_journal_5;__export__.account_period_18
71;2016-01-01;__export__.account_journal_5;71;__export__.account_period_19;__export__.account_account_198;2016-01-01;50_12448459 - N. Junod - Prospection de mandats (2016);3200.40;;__export__.account_journal_5;__export__.account_period_19
;;;;;__export__.account_account_134;2016-01-01;50_12448459 - N. Junod - Prospection de mandats (2016);;3200.40;__export__.account_journal_5;__export__.account_period_19
72;2016-01-01;__export__.account_journal_5;72;__export__.account_period_19;45566;2016-01-01;50_12448459 - N. Junod - Prospection de mandats (2016);3200.40;;__export__.account_journal_5;__export__.account_period_19
;;;;;__export__.account_account_117;2016-01-01;50_12448459 - N. Junod - Prospection de mandats (2016);;3200.40;__export__.account_journal_5;__export__.account_period_19
73;2015-09-01;__export__.account_journal_5;73;__export__.account_period_18;__export__.account_account_173;2015-09-01;50_18183007 - D. Billard - Dépôt  -  RCSO (2015);1599.60;;__export__.account_journal_5;__export__.account_period_18
;;;;;__export__.account_account_134;2015-09-01;50_18183007 - D. Billard - Dépôt  -  RCSO (2015);;1599.60;__export__.account_journal_5;__export__.account_period_18
74;2015-09-01;__export__.account_journal_5;74;__export__.account_period_18;45566;2015-09-01;50_18183007 - D. Billard - Dépôt  -  RCSO (2015);1599.60;;__export__.account_journal_5;__export__.account_period_18
